foodname,portiondesc
"Water, tap",cup (8 fl oz)
"Water, tap",tablespoon
"Water, tap",teaspoon
"Water, tap",ice cube
"Water, bottled, unsweetened",cup (8 fl oz)
"Water, bottled, unsweetened",bottle (12 fl oz)
"Water, bottled, unsweetened",bottle (16.9 fl oz or 500 ml)
"Water, bottled, sweetened, with low or no calorie sweetener",bottle (12 fl oz)
"Water, bottled, sweetened, with low or no calorie sweetener",bottle (16.9 fl oz or 500 ml)
"Water, bottled, sweetened, with low or no calorie sweetener",Fruit 2 O bottle (16 fl oz)
"Water, bottled, sweetened, with low or no calorie sweetener",Fruit 2 O bottle (20 fl oz)
Propel Water,cup
Propel Water,bottle (16.9 fl oz or 500 ml)
Propel Water,sports bottle (23.7 fl oz)
Glaceau Water,cup
Glaceau Water,bottle (20 fl oz)
"White beans, cooked from dry (no salt or fat added)",cup
"White beans, cooked from dry (no salt or fat added)",ounce(s)
"Black beans, cooked from dry (no salt or fat added)",cup
"Fava beans, cooked from dry (no salt or fat added)","cup, mashed"
"Fava beans, cooked from dry (no salt or fat added)",cup
"Fava beans, cooked from dry (no salt or fat added)",ounce(s)
"Lima beans, cooked from dry (no salt or fat added)",cup
"Lima beans, cooked from dry (no salt or fat added)",ounce(s)
"Pink beans, cooked from dry (no salt or fat added)",cup
"Pink beans, cooked from dry (no salt or fat added)",ounce(s)
"Pinto beans, cooked from dry (no salt or fat added)","cup, mashed"
"Pinto beans, cooked from dry (no salt or fat added)",cup
"Pinto beans, cooked from dry (no salt or fat added)","cup, refried beans"
"Pinto beans, cooked from dry (no salt or fat added)",ounce(s)
"Kidney beans, cooked from dry (no salt or fat added)","cup, mashed"
"Kidney beans, cooked from dry (no salt or fat added)",cup
"Kidney beans, cooked from dry (no salt or fat added)",ounce(s)
"Soybeans, cooked from dry (no salt or fat added)",cup
"Soybeans, cooked from dry (no salt or fat added)",ounce(s)
"Mung beans, cooked from dry (no salt or fat added)",cup
"Black-eyed peas (cowpeas), cooked from dry (no salt or fat added)",cup
"Chickpeas (garbanzo beans), cooked from dry (no salt or fat added)",cup
"Chickpeas (garbanzo beans), cooked from dry (no salt or fat added)",ounce(s)
"Split peas, cooked (no salt or fat added)",cup
"Split peas, cooked (no salt or fat added)",ounce(s)
"Lentils, cooked (no salt or fat added)",cup
"Lentils, cooked (no salt or fat added)",ounce(s)
"Macaroni, (or rotini, ziti, shells, lasagna noodles, other pasta), cooked (no salt or fat added)",cup
"Macaroni, whole wheat, cooked (no salt or fat added)",cup
"Macaroni, spinach, cooked (no salt or fat added)",cup
"Macaroni, vegetable, cooked (no salt or fat added)",cup
"Noodles (egg noodles), cooked (no salt or fat added)",cup
"Noodles, whole wheat, cooked (no salt or fat added)",cup
"Noodles, spinach, cooked (no salt or fat added)",cup
"Pasta, (spaghetti, linguini, vermicelli), cooked (no salt or fat added)",cup
"Pasta, (spaghetti, linguini, vermicelli), whole wheat, cooked (no salt or fat added)",cup
"Barley, cooked (no salt or fat added)",cup
"Buckwheat groats (kasha), cooked (no salt or fat added)",cup
"Grits, corn or hominy, regular, cooked (no salt or fat added)",cup
"Grits, corn or hominy, quick, cooked (no salt or fat added)",cup
"Millet, cooked (no salt or fat added)",cup
"Oatmeal, regular, cooked (no salt or fat added)",cup
"Oatmeal, quick, cooked (no salt or fat added)",cup
"Rice, white, cooked (no salt or fat added)",cup
"Rice cereal (cream of rice), cooked (no salt or fat added)",cup
"Rice, brown, cooked (no salt or fat added)",cup
"Rice, wild, cooked (no salt or fat added)",cup
"Cream of wheat, regular, cooked (no salt or fat added)",cup
"Cream of wheat, quick, cooked (no salt or fat added)",cup
"Bulgur (wheat pilaf), cooked (no salt or fat added)",cup
"Couscous, plain, cooked (no salt or fat added)",cup
"Whole wheat cereal (Roman Meal, Branola, Wheatena), cooked (no salt or fat added)",cup
"Maltex or Malt-O-Meal, cooked (no salt or fat added)",cup
"Potato, baked (no salt added), peel eaten",cup
"Potato, baked (no salt added), peel eaten","medium (2-1/4"" to 3"" across)"
"Potato, boiled (no salt or fat added)","cup, mashed"
"Potato, boiled (no salt or fat added)",cup
"Potato, boiled (no salt or fat added)","canned potato (approx 1"" across)"
"Potato, boiled (no salt or fat added)","medium (2-1/4"" to 3"" across)"
"Potato, roasted (no salt or fat added)",cup
"Potato, roasted (no salt or fat added)","medium (2-1/4"" to 3"" across)"
"Cassava (yuca blanca), cooked (no salt or fat added)","cup, diced"
"Beet greens, cooked (no salt or fat added)",cup
"Swiss chard, cooked (no salt or fat added)","cup, leaves only"
"Swiss chard, cooked (no salt or fat added)","cup, stalks and leaves"
"Collards, fresh, cooked (no salt or fat added)",cup
"Cress, fresh, cooked (no salt or fat added)",cup
"Dandelion greens, cooked (no salt or fat added)",cup
"Escarole, cooked (no salt or fat added)",cup
"Kale, fresh, cooked (no salt or fat added)",cup
"Mustard cabbage, cooked (no salt or fat added)",cup
"Mustard greens, fresh, cooked (no salt or fat added)",cup
"Poke greens, cooked (no salt or fat added) ",cup
"Spinach, fresh, cooked (no salt or fat added)",cup
"Taro leaves, cooked (no salt or fat added)",cup
"Turnip greens, fresh, cooked (no salt or fat added)",cup
"Watercress, cooked (no salt or fat added) ",cup
"Broccoli, fresh, cooked (no salt or fat added) ","cup, chopped"
"Carrots, fresh, cooked (no salt or fat added) ","cup, sliced"
"Carrots, fresh, cooked (no salt or fat added) ",baby carrot(s)
"Carrots, fresh, cooked (no salt or fat added) ","medium carrot (6"" to 7"" long)"
"Pumpkin, fresh, cooked (no salt or fat added)",cup
"Squash, winter, mashed (no salt, fat, or sugar added)","cup, acorn"
"Squash, winter, mashed (no salt, fat, or sugar added)","cup, butternut"
"Squash, winter, mashed (no salt, fat, or sugar added)","cup, hubbard"
"Squash, winter, baked (no salt, fat, or sugar added)","cup, cubes, all varieties"
"Squash, winter, baked (no salt, fat, or sugar added)",portion (1/2 acorn squash)
"Sweet potato (yam), baked (no salt added), peel eaten",cup
"Sweet potato (yam), baked (no salt added), peel eaten","medium potato (5"" long)"
"Sweet potato (yam), baked (no salt added), peel not eaten",cup
"Sweet potato (yam), baked (no salt added), peel not eaten","medium potato (5"" long)"
"Sweet potato (yam), boiled (no salt added), without peel",cup
"Sweet potato (yam), boiled (no salt added), without peel","medium potato (5"" long)"
"Artichoke, cooked, fresh (no salt or fat added) ","cup, hearts"
"Asparagus, cooked, fresh (no salt or fat added)",cup
"Asparagus, cooked, fresh (no salt or fat added)","medium spear (5-1/4"" to 7"" long)"
"String beans, fresh, cooked (no salt or fat added)",cup
"String beans, fresh, cooked (no salt or fat added)",portion (10 beans)
"String beans, yellow, fresh, cooked (no salt or fat added)",cup
"String beans, yellow, fresh, cooked (no salt or fat added)",portion (10 beans)
"Beets, fresh, cooked (no salt or fat added)","cup, diced"
"Bitter melon, cooked (no salt or fat added)",cup
"Broccoflower, cooked (no salt or fat added)","cup, flowerets"
"Brussels sprouts, fresh, cooked (no salt or fat added)",cup
"Burdock, cooked (no salt or fat added)",cup
"Cabbage, green, cooked (no salt or fat added)",medium leaf
"Cabbage, red, cooked (no salt or fat added)",cup
"Cabbage, red, cooked (no salt or fat added)",leaves
"Cactus, cooked (no salt or fat added)",cup
"Cauliflower, fresh, cooked (no salt or fat added)","cup, flowerets"
"Celery, cooked (no salt or fat added) ","cup, diced"
"Celery, cooked (no salt or fat added) ","medium stalk (7-1/2"" - 8"" long)"
"Fennel bulb, cooked (no salt or fat added)",fennel bulb
"Corn, yellow, fresh, cooked (no salt or fat added)",cup
"Corn, yellow, fresh, cooked (no salt or fat added)","medium ear (6-3/4"" to 7-1/2"" long)"
"Corn, white, fresh, cooked (no salt or fat added)",cup
"Corn, white, fresh, cooked (no salt or fat added)","medium ear (6-3/4"" to 7-1/2"" long)"
"Cucumber, cooked (no salt or fat added) ",cup
"Eggplant, cooked (no salt or fat added) ","cup, cubes"
"Eggplant, cooked (no salt or fat added) ",slice
"Kohlrabi, cooked (no salt or fat added) ",cup
"Lotus root, cooked (no salt or fat added) ",cup
"Lotus root, cooked (no salt or fat added) ",portion (10 slices)
"Mushroom, fresh, cooked (no salt or fat added)",cup
"Mushroom, fresh, cooked (no salt or fat added)",medium
"Mushroom, fresh, cooked (no salt or fat added)",portion (10 slices)
"Mushroom, fresh, cooked (no salt or fat added)",portion (8 caps)
"Okra, fresh, cooked (no salt or fat added) ",cup
"Okra, fresh, cooked (no salt or fat added) ",pod
"Lettuce, cooked (no salt or fat added) ",cup
"Luffa (Chinese okra), cooked (no salt or fat added) ",cup
"Luffa (Chinese okra), cooked (no salt or fat added) ",medium
"Onion,  fresh, cooked (no salt or fat added) ",cup
"Onion,  fresh, cooked (no salt or fat added) ","medium slice (1/8"" thick)"
"Parsnips, cooked (no salt or fat added) ","cup, mashed"
"Parsnips, cooked (no salt or fat added) ","cup, pieces"
"Parsnips, cooked (no salt or fat added) ",medium
"Blackeye peas, (cowpeas), fresh, cooked (no salt or fat added) ",cup
"Peas, green, fresh, cooked (no salt or fat added) ",cup
"Pigeon peas, fresh, cooked (no salt or fat added) ",cup
"Pepper, green, cooked (no salt or fat added) ",cup
"Pepper, green, cooked (no salt or fat added) ",cherry pepper
"Pepper, green, cooked (no salt or fat added) ","medium pepper (2-3/4"" long, 2-1/2"" across)"
"Pepper, red, cooked (no salt or fat added) ",cup
"Pepper, red, cooked (no salt or fat added) ","medium pepper (2-3/4"" long, 2-1/2"" across)"
"Radish, Japanese (daikon), cooked (no salt or fat added) ",cup
"Rutabaga, cooked (no salt or fat added) ","cup, mashed"
"Rutabaga, cooked (no salt or fat added) ","cup, pieces"
"Rutabaga, cooked (no salt or fat added) ",medium
"Salsify (vegetable oyster), cooked (no salt or fat added) ",cup
"Snow peas (sugar snap peas), fresh, cooked (no salt or fat added) ",cup
"Snow peas (sugar snap peas), fresh, cooked (no salt or fat added) ",portion (10 snowpeas)
"Squash, yellow, fresh, cooked (no salt or fat added) ","cup, diced"
"Squash, yellow, fresh, cooked (no salt or fat added) ","cup, mashed"
"Squash, yellow, fresh, cooked (no salt or fat added) ","cup, slices"
"Squash, yellow, fresh, cooked (no salt or fat added) ",slice
"Squash, spaghetti, cooked (no salt or fat added) ",cup
"Turnip, cooked (no salt or fat added) ","cup, mashed"
"Turnip, cooked (no salt or fat added) ","cup, pieces"
"Turnip, cooked (no salt or fat added) ",medium
"Salt, table",tablespoon
"Salt, table",teaspoon
"Salt, table",dash (1/16 of a teaspoon)
"Potato, baked (no salt added), peel not eaten",cup
"Potato, baked (no salt added), peel not eaten","medium (2-1/4"" to 3"" across)"
"Fish, battered and fried","fillet (6-1/4"" x 3-1/2"" x 3/8"")"
"Cabbage, Chinese (Bok Choy), cooked (no salt or fat added)","cup, shredded"
"Napa Cabbage, cooked (no salt or fat added)","cup, shredded"
"Napa Cabbage, cooked (no salt or fat added)",leaves
"Cabbage, Chinese (Won Bok, Pe-tsai), raw","cup, shredded"
"Cheese, Ricotta, whole milk",cup
"Cheese, Ricotta, part skim",cup
"Edamame, frozen, cooked (no salt or fat added)",cup
"Vinegar, balsamic",cup
"Vinegar, balsamic",tablespoon
"Vinegar, balsamic",teaspoon
"Kale, raw","cup, chopped"
"Kale, raw",ounce
"Pepper, red (cayenne)",teaspoon
"Pepper, red (cayenne)",tablespoon
Curry powder,teaspoon
Curry powder,tablespoon
Garlic powder,teaspoon
Garlic powder,tablespoon
Cinnamon,teaspoon
Cinnamon,tablespoon
"Ginger, raw","cup, slices"
"Ginger, raw",slice
"Ginger, ground",teaspoon
"Ginger, ground",tablespoon
"Basil, fresh","tablespoon, chopped"
"Basil, dried",tablespoon
"Tempeh, raw",cup
"Tempeh, raw",ounce(s)
"Tempeh, cooked",cup
"Tempeh, cooked",ounce(s)
"Oatmeal, instant, plain, cooked (no fat added)",cup
"Oatmeal, instant, cinnamon and spice, cooked (no fat added)",cup
"Oatmeal, instant, raisins and spice, cooked (no fat added)",cup
"Oatmeal, instant, plain, cooked (with milk, no fat added)",cup
"Oatmeal, instant, cinnamon and spice, cooked (with milk, no fat added)",cup
"Oatmeal, instant, raisins and spice, cooked (with milk, no fat added)",cup
"Oatmeal, instant, plain, cooked (with soymilk, no fat added)",cup
"Oatmeal, instant, cinnamon and spice, cooked (with soymilk, no fat added)",cup
"Oatmeal, instant, raisins and spice, cooked (with soymilk, no fat added)",cup
"Salad, grilled chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",cup
"Salad, grilled chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",McDonald's salad
"Salad, fried chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",cup
"Salad, fried chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",Wendy's salad
"Salad, fried chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",McDonald's salad
"Salad, grilled chicken, lettuce, fruit, nuts, no dressing",cup
"Salad, Asian chicken, crispy noodles, lettuce, tangerine, almonds, no dressing",cup
"Salad, grilled chicken, cheese, lettuce, tomato, no dressing",cup
"Salad, grilled chicken, cheese, lettuce, tomato, no dressing",Wendy's salad
"Salad, grilled chicken, cheese, lettuce, tomato, no dressing",McDonald's salad
"Salad, fried chicken, cheese, lettuce, tomato, no dressing",cup
"Salad, fried chicken, cheese, lettuce, tomato, no dressing",McDonald's salad
"Salad, shrimp, egg, lettuce, tomato, carrots, no dressing",cup
Chia seeds,tablespoon
"Salad, egg, cheese, lettuce, tomato, carrots, no dressing",cup
"Pistachios, with salt",cup
"Pistachios, with salt",tablespoon
"Pistachios, with salt",ounce(s)
"Pistachios, without salt",cup
"Pistachios, without salt",tablespoon
"Pistachios, without salt",ounce(s)
"Pudding, vanilla, instant, low-calorie dry mix",ounce(s)
"Pudding, vanilla, instant, dry mix",ounce(s)
"Pudding, chocolate, low-calorie, instant, dry mix",ounce(s)
"Pudding, chocolate, instant, dry mix",ounce(s)
"Beef, raw, tenderloin, boneless",ounce(s)
"Steak, beef, raw, top sirloin, boneless, fat not trimmed",ounce(s)
"Steak, beef, raw, top sirloin, boneless, fat not trimmed",steak
"Steak, beef, raw, top round, boneless, fat not trimmed",ounce(s)
"Steak, beef, raw, filet, boneless",ounce(s)
"Steak, beef, raw, filet, boneless",steak
"Steak, beef, raw, top sirloin, boneless, fat trimmed",ounce(s)
"Steak, beef, raw, top sirloin, boneless, fat trimmed",steak
"Steak, beef, raw, top round, boneless, fat trimmed",ounce(s)
"Beef, raw, shortribs, bone in, fat not trimmed",ounce(s)
"Beef, raw, shortribs, bone in, fat trimmed",ounce(s)
"Beef, raw, rib roast, fat not trimmed",ounce(s)
"Beef, raw, roast, bottom round, boneless, fat not trimmed",ounce(s)
"Beef, raw, roast, tip round, boneless, fat not trimmed",ounce(s)
"Beef, raw, roast, tip round, boneless, fat trimmed",ounce(s)
"Beef, raw, roast, eye of round, fat trimmed",ounce(s)
"Beef, raw, pot roast, chuck arm, boneless, fat not trimmed",ounce(s)
"Beef, raw, roast, chuck, boneless, fat not trimmed",ounce(s)
"Beef, raw, pot roast, chuck arm, boneless, fat trimmed",ounce(s)
"Corned beef, raw, brisket, boneless, fat not trimmed",ounce(s)
"Beef, raw, brisket, boneless, fat not trimmed",ounce(s)
"Beef, raw, brisket, boneless, fat trimmed",ounce(s)
"Ground beef, raw, 85% lean",ounce(s)
"Ground beef, raw, 90% lean",ounce(s)
"Ground beef, raw, 95% lean",ounce(s)
"Bacon, raw, beef",slice
"Pork, raw, chops, center loin, bone in, fat not trimmed ",ounce(s)
"Pork, raw, chops, center loin, bone in, fat not trimmed ",chop
"Pork, raw, chops, top loin, boneless, fat not trimmed ",ounce(s)
"Pork, raw, chops, top loin, boneless, fat not trimmed ",chop
"Pork, raw, chops, top loin, boneless, fat trimmed",ounce(s)
"Pork, raw, chops, top loin, boneless, fat trimmed",chop
"Pork, raw, cutlet, boneless, fat not trimmed ",ounce(s)
"Pork, raw, cutlet, boneless, fat trimmed",ounce(s)
"Pork, raw, tenderloin, fat not trimmed",ounce(s)
"Pork, raw, roast, loin, boneless, fat not trimmed",ounce(s)
"Pork, raw, roast, loin, boneless, fat trimmed",ounce(s)
"Pork, raw, roast, shoulder, boneless, fat not trimmed",ounce(s)
"Bacon, raw, pork, smoked or cured",slice
"Bacon, raw, pork, smoked or cured, lower sodium",slice
"Pork, raw, spareribs, fat not trimmed",ounce(s)
"Lamb, raw, chop, loin, bone in, fat not trimmed",ounce(s)
"Lamb, raw, chop, loin, bone in, fat not trimmed",chop
"Lamb, raw, ribs, fat not trimmed (rack of lamb)",ounce(s)
"Lamb, raw, roast, leg, fat not trimmed (leg of lamb)",ounce(s)
"Lamb, raw, ground",ounce(s)
"Goat, raw, skin removed",ounce(s)
"Veal, raw, boneless, fat not trimmed",ounce(s)
"Veal, raw, chop, boneless, fat not trimmed ",ounce(s)
"Veal, raw, chop, boneless, fat not trimmed ",chop
"Veal, raw, ground",ounce(s)
"Venison, (deer), raw, ground",ounce(s)
"Buffalo, (bison), raw, ground",ounce(s)
"Chicken, raw, breast, bone in, with skin, skin removed",ounce(s)
"Chicken, raw, breast, bone in, with skin, skin removed",breast
"Chicken, raw, tenderloins, boneless, skinless ",ounce(s)
"Chicken, raw, breast, boneless, skinless",ounce(s)
"Chicken, raw, breast, boneless, skinless",breast
"Chicken, raw, leg quarter (drumstick and thigh), with skin",leg (drumstick and thigh)
"Chicken, raw, leg quarter (drumstick and thigh), with skin, skin removed",leg (drumstick and thigh)
"Chicken, raw, drumstick, with skin",chicken leg (drumstick)
"Chicken, raw, drumstick, with skin, skin removed",chicken leg (drumstick)
"Chicken, raw, thigh, with skin",ounce(s)
"Chicken, raw, thigh, with skin",chicken thigh
"Chicken, raw, thigh, with skin, skin removed",ounce(s)
"Chicken, raw, thigh, with skin, skin removed",chicken thigh
"Chicken, raw, thigh, boneless, skinless",ounce(s)
"Chicken, raw, thigh, boneless, skinless",chicken thigh
"Chicken, raw, wing, with skin",wing
"Chicken, raw, wing, with skin, skin removed",wing
"Ground chicken, raw",ounce(s)
"Turkey, raw, breast, boneless, skinless",ounce(s)
"Turkey, raw, breast, boneless, skinless",breast
"Turkey, raw, breast, bone in, with skin",breast
"Turkey, raw, leg, bone in, with skin",leg
"Turkey, raw, whole, skin removed",ounce(s)
"Turkey, raw, whole, skin removed",whole bird
"Turkey, raw, whole, with skin",ounce(s)
"Turkey, raw, whole, with skin",whole bird
"Turkey, raw, neck, skinless",ounce(s)
"Ground turkey, raw, 85% lean",ounce(s)
"Ground turkey, raw, breast",ounce(s)
"Duck, raw, with skin",duck
"Liver, beef, raw",ounce(s)
"Liver, chicken, raw",chicken liver
"Chicken, raw, heart",heart
"Chicken, raw, gizzards ",ounce(s)
"Sausage, raw, pork, Italian",ounce(s)
"Sausage, raw, pork, Italian",link
"Sausage, raw, turkey",ounce(s)
"Sausage, raw, turkey",link
"Fish, catfish, raw, fillet",fillet (4 oz)
"Fish, cod, raw, Pacific, fillet",fillet (4 oz)
"Fish, cod, raw, Atlantic, fillet",fillet (4 oz)
"Fish, flatfish, (flounder or sole), raw, fillet",fillet
"Fish, mackerel, raw, Atlantic, fillet",fillet
"Fish, salmon, raw, Pacific, wild",fillet (4 oz)
"Fish, salmon, raw, Atlantic, farmed",fillet (4 oz)
"Fish, swordfish, raw, steak","piece (4-1/2"" x 2-1/4"" x 7/8"")"
"Fish, tilapia, raw, fillet",fillet (4 oz)
"Clams, raw, to be cooked","pound, in shell"
"Clams, raw, to be cooked","pound, shucked"
"Clams, raw, to be cooked",medium clam
"Crab, raw, blue",pound
"Crab, raw, blue","pound, crab meat"
"Crab, raw, blue",medium blue crab
"Crab, raw, Alaska king",king crab leg
"Crab, raw, Alaska king",pound
"Crab, raw, Alaska king","pound, crab meat"
"Lobster, raw",pound
"Lobster, raw",lobster
"Lobster, raw","ounce(s), lobster meat"
"Lobster, raw","pound, lobster meat"
"Lobster, raw",medium lobster (2.5 lb live weight)
"Oysters, raw, to be cooked","ounce(s), shucked"
"Oysters, raw, to be cooked","pound, shucked"
"Oysters, raw, to be cooked","oyster, medium"
"Scallops, raw",ounce(s)
"Shrimp, raw",ounce(s)
"Shrimp, raw",medium shrimp
"Broth, chicken",cup
"Egg substitute (Egg Beaters), raw",cup
"Egg substitute (Egg Beaters), raw",tablespoon
"Egg substitute (Egg Beaters), raw",ounce(s)
"White beans, dry",cup
"Black beans, dry",cup
"Lima beans, Fordhook, dry",cup
"Pink beans, dry",cup
"Pinto beans, dry",cup
"Kidney beans, dry",cup
"Soybeans, dry",cup
"Mung beans, dry",cup
"Black-eyed peas (cowpeas), dry",cup
"Chickpeas (garbanzo beans), dry",cup
"Split peas, green or yellow, dry",cup
"Lentils, dry",cup
"Tofu, soft","cup (1/2"" cubes)"
"Tofu, soft",ounce(s)
"Tofu, soft",package (14 oz)
"Tofu, firm","cup (1/2"" cubes)"
"Tofu, firm",ounce(s)
"Tofu, firm",package (14 oz)
"Tofu, extra firm","cup (1/2"" cubes)"
"Tofu, extra firm",ounce(s)
"Tofu, extra firm",package (14 oz)
"Sunflower seed butter, without salt",cup
"Sunflower seed butter, without salt",tablespoon
"Sunflower seed butter, without salt",ounce(s)
"Sunflower seed butter, without salt",teaspoon
"Sunflower seed butter, with salt",cup
"Sunflower seed butter, with salt",tablespoon
"Sunflower seed butter, with salt",ounce(s)
"Sunflower seed butter, with salt",teaspoon
Poppy seeds,tablespoon
Poppy seeds,teaspoon
Mustard seed,"tablespoon, ground"
Mustard seed,"teaspoon, ground"
Cumin seed,tablespoon
Cumin seed,teaspoon
Coriander seed,tablespoon
Coriander seed,teaspoon
Celery seed,teaspoon
Caraway seed,tablespoon
Anise seed,teaspoon
"Cornmeal, yellow, whole grain",cup
"Cornmeal, yellow, enriched and degerminated",cup
"Flour, rice, brown",cup
"Flour, rice, white",cup
"Flour, white, cake",cup
"Flour, white, self-rising",cup
"Flour, corn, masa, white",cup
"Flour, corn, masa, yellow",cup
"Flour, corn, whole grain, white",cup
"Flour, corn, whole grain, yellow",cup
"Bread crumbs, seasoned",cup
"Bread crumbs, plain",cup
"Cake mix, yellow",ounce(s)
"Cake mix, white",ounce(s)
"Cake mix, chocolate",ounce(s)
"Pasta, macaroni, elbow, dry","cup, elbow"
"Pasta, macaroni, elbow, dry","cup, rotini"
"Pasta, macaroni, elbow, dry","cup, shells"
"Pasta, macaroni, elbow, whole wheat, dry","cup, elbow"
"Pasta, macaroni, elbow, whole wheat, dry","cup, rotini"
"Pasta, macaroni, elbow, whole wheat, dry","cup, shells"
"Pasta, macaroni, elbow, whole wheat, dry",lasagna sheet
"Pasta, spaghetti, spinach, dry",ounce(s)
"Pasta, egg noodles, dry",cup
"Pasta, egg noodles, dry",ounce(s)
"Pasta, egg noodles, dry",bag (12 oz)
"Rice noodles (chow fun), dry",ounce(s)
"Pasta, spaghetti, dry",ounce(s)
"Pasta, spaghetti, whole wheat, dry",ounce(s)
"Barley, dry",cup
"Buckwheat groats (kasha), dry",cup
"Grits, regular or quick, white, dry",cup
"Grits, regular or quick, white, dry",ounce(s)
"Grits, regular or quick, yellow, dry",cup
"Grits, regular or quick, yellow, dry",ounce(s)
"Millet, dry",cup
"Oats, regular or quick, to be cooked in liquid",cup
"Oats, multigrain, to be cooked in liquid",cup
"Rice, white, regular, dry",cup
"Rice, white, instant, dry",cup
"Rice, brown, regular, dry",cup
"Rice, wild, dry",cup
"Cream of wheat, regular, dry",tablespoon
"Cream of wheat, instant, dry",tablespoon
"Bulgur (wheat pilaf), dry",cup
"Couscous, dry",cup
"Maltex, dry",cup
"Oat bran cereal, dry",cup
"Quinoa, dry",cup
Allspice,tablespoon
"Vinegar, cider",tablespoon
"Cream of potato soup, canned, condensed",cup
"Spinach, frozen, cooked (no salt or fat added)","cup, chopped"
"Spinach, frozen, cooked (no salt or fat added)","cup, leaves"
"Turnip greens, frozen, cooked (no salt or fat added)",cup
"Broccoli, frozen, cooked (no salt or fat added)","cup, chopped"
"Carrots, frozen, cooked (no salt or fat added)","cup, sliced"
"Carrots, frozen, cooked (no salt or fat added)",baby carrot(s)
"Peas and carrots, frozen, cooked, (no salt or fat added)",cup
"Pumpkin, frozen, cooked  (no salt or fat added)",cup
"Pumpkin pie mix, canned",cup
Sage,tablespoon
Sage,teaspoon
Capers,"tablespoon, drained"
"Mint, fresh",leaves
Wasabi ,root
Turmeric,tablespoon
"Thyme, dried",teaspoon
"Thyme, fresh",teaspoon
Tarragon,tablespoon
"Shallots, raw","tablespoon, chopped"
"Dill, dried",tablespoon
"Dill, fresh",tablespoon
"Lima beans, baby, dry",cup
"Green beans, frozen, cooked (no salt or fat added)",cup
"Green beans, frozen, cooked (no salt or fat added)",portion (10 beans)
"String beans, yellow, frozen, cooked (no salt or fat added)",cup
"Brussels sprouts, frozen, cooked (no salt or fat added)",cup
"Cauliflower, frozen, cooked (no salt or fat added)",cup
"Corn, yellow, frozen, cooked (no salt or fat added) ",cup
"Corn, yellow, frozen, cooked (no salt or fat added) ",medium ear
"Corn, white, frozen, cooked (no salt or fat added) ",cup
"Corn, white, frozen, cooked (no salt or fat added) ",medium ear
"Okra, frozen, cooked (no salt or fat added) ",cup
"Okra, frozen, cooked (no salt or fat added) ",piece
"Onions, frozen, cooked (no salt or fat added) ",cup
"Onions, pearl, frozen, cooked (no salt or fat added) ",cup
"Onions, pearl, frozen, cooked (no salt or fat added) ",pearl onion
"Blackeye peas, (cowpeas, field peas), frozen, cooked (no salt or fat added) ",cup
"Peas, green, frozen, cooked (no salt or fat added in cooking) ",cup
"Snow peas (sugar snap peas), frozen, cooked (no salt or fat added)",cup
"Snow peas (sugar snap peas), frozen, cooked (no salt or fat added)",portion (10 snowpeas)
"Squash, yellow, frozen, cooked (no salt or fat added)","cup, diced"
"Squash, yellow, frozen, cooked (no salt or fat added)","cup, mashed"
"Squash, yellow, frozen, cooked (no salt or fat added)","cup, slices"
"Squash, yellow, frozen, cooked (no salt or fat added)",slice
"Mixed vegetables (corn, lima beans, peas, green beans, carrots), frozen, cooked (no salt or fat added) ",cup
"Cream of celery soup, canned, condensed",cup
"Cream of mushroom soup, canned, condensed",cup
"Cream of mushroom soup, canned, reduced sodium, condensed",cup
"Onion soup mix, dry",packet
"Vegetable soup mix, dry",packet
Cardamom,"tablespoon, ground"
Lemongrass,cup
Lemongrass,tablespoon
Nutmeg,"tablespoon, ground"
Nutmeg,"teaspoon, ground"
Onion powder,tablespoon
Oregano,tablespoon
Paprika,tablespoon
"Rosemary, fresh",tablespoon
"Rosemary, dried",tablespoon
Saffron,tablespoon
Bay leaf,"tablespoon, crumbled"
Grapeseed oil,tablespoon
"Baking chocolate, unsweetened",square
"Pepper, white","teaspoon, ground"
"Pepper, black","teaspoon, ground"
"Pepper, black","teaspoon, whole"
Poultry seasoning,tablespoon
Taco seasoning,tablespoon
Vanilla extract,tablespoon
Cream of tartar,tablespoon
Baking soda,teaspoon
Baking powder,teaspoon
"Pie crust, refrigerated, baked","medium crust (9"" across)"
"Pie crust, frozen, ready-to-bake","medium crust (9"" across)"
"Flour, oat",cup
"Cherries, dried",cup
"Carrot, baby",package (16 oz)
"Squash, spaghetti, raw","cup, cubes"
"Squash, spaghetti, raw",squash
"Squash, butternut, raw","cup, cubes"
"Squash, butternut, raw",medium
"Squash, acorn, raw","cup, cubes"
"Squash, acorn, raw","squash (4"" across)"
"Squash, winter, raw","cup, cubes"
"Mushroom, portabella, grilled","cup, sliced"
"Mushroom, portabella, raw","cup, diced"
Chili powder,tablespoon
"Yellow bell pepper, raw","cup, chopped"
"Yellow bell pepper, raw","cup, sliced"
"Yellow bell pepper, raw","medium (2-3/4"" long, 2-1/2"" across)"
"Yellow bell pepper, raw","slice or ring (3"" across 1/4"" thick)"
"Yellow bell pepper, raw",portion (10 strips)
Marjoram,tablespoon
